Species name,present in the Danube catchment,reported in JDS4,JDS 4 Species name,Author,Comments
Abramis brama,x,x,Abramis brama,"(Linnaeus, 1758)",
Acipenser baerii,x,,Acipenser baerii,"(Brandt , 1869)",
Acipenser brevirostrum,x,,Acipenser brevirostrum,"(Lesueur, 1818)",
Acipenser gueldenstaedtii,x,,Acipenser gueldenstaedtii,"(Brandt et Ratzeburg, 1833)",
Acipenser naccarii,x,,Acipenser naccarii,"(Bonaparte, 1836)",
Acipenser nudiventris,x,,Acipenser nudiventris,"(Lovetzky, 1828)",
Acipenser oxyrinchus,x,,Acipenser oxyrinchus,"(Mitchill, 1815)",
Acipenser ruthenus,x,,Acipenser ruthenus,"(Linnaeus, 1758)",
Acipenser stellatus,x,,Acipenser stellatus ,"(Pallas, 1771)",
Acipenser sturio,x,,Acipenser sturio ,"(Linnaeus, 1758)",
Acipenser transmontanus,x,,Acipenser transmontanus,"(Richardson, 1836)",
Alburnoides bipunctatus,x,x,Alburnoides bipunctatus,"(Bloch, 1782)",
Alburnus alburnus,x,x,Alburnus alburnus,"(Linnaeus, 1758)",
Alburnus chalcoides,x,,Chalcalburnus chalcoides ,"(Gueldenstaedt, 1772)",Check difference for A. mento
Alburnus mento,x,x,Alburnus mento,"(Heckel, 1836)",Check difference for A. chalcoides
Alburnus sava,x,,Alburnus sava,(Bogutskaya et al. 2017),
Alosa immaculata,x,x,Alosa immaculata,"(Bennett, 1835)",
Alosa maeotica,x,,Alosa maeotica,"(Grimm, 1901)",
Alosa tanaica,x,x,Alosa tanaica,"(Grimm, 1901)",
Alpinocottus poecilopus,x,,Cottus poecilopus,"(Heckel, 1837)",
Ameiurus melas,x,x,Ameirurus melas,"(Rafinesque, 1820)",
Ameiurus nebulosus,x,x,Ameiurus nebulosus,"(Lesueur, 1819)",
Anguilla anguilla,x,x,Anguilla anguilla,"(Linnaeus, 1758)",
Atherina boyeri,x,,Atherina boyeri,"(Risso, 1810)",
Babka gymnotrachelus,x,x,Neogobius gymnotrachelus,"(Kessler, 1857)",
Ballerus ballerus,x,x,Abramis ballerus,"(Linnaeus, 1758)",
Ballerus sapa,x,x,Abramis sapa,"(Pallas, 1814)",
Barbatula barbatula,x,x,Barbatula barbatula,"(Linnaeus, 1758)",
Barbus balcanicus,x,,Barbus balcanicus,(Kotlík et al. 2002),Danube basin level
Barbus barbus,x,x,Barbus barbus,"(Linnaeus, 1758)",
Barbus biharicus,x,,Barbus biharicus,"(Antal, László et Kotlík, 2016)",Danube basin level
Barbus carpathicus,x,,Barbus carpathicus,"(Kotlík, Tsigenopoulos, Ráb et Berrebi, 2002)",Danube basin level
Barbus peloponnesius,,x,Barbus peloponnesius,"(Valencienns, 1842)",
Barbus petenyi,x,,Barbus petenyi,"(Heckel, 1852)",Danube basin level
Benthophiloides brauneri,x,,Benthophiloides brauneri,"(Belling et Iljin, 1927)",
Benthophilus nudus,x,x,Benthophilus nudus,"(Berg, 1898)",
Benthophilus stellatus,x,,Benthophilus stellatus,"(Sauvage, 1874)",
Blicca bjoerkna,x,x,Blicca bjoerkna,"(Linnaeus, 1758)",
Carassius auratus,x,x,Carassius auratus,"(Linnaeus, 1758)",
Carassius carassius,x,,Carassius carassius,"(Linnaeus, 1758)",
Carassius gibelio,x,x,Carassius gibelio,"(Bloch, 1782)",
Carassius langsdorfii,x,,Carassius langsdorfii,"(Temminck et Schlegel, 1846)",
